Part1_E,Part3_E,Part11_E
0.013,0.403,0.193
0.013,0.414,0.154
0.017,0.412,0.18
0.02,0.35,0.182
0.017,0.408,0.199
0.02,0.327,0.121
0.013,0.253,0.13
0.014,0.496,0.22
0.014,0.244,0.218
0.024,0.444,0.165
0.01,0.319,0.176
0.015,0.432,0.232
0.011,0.482,0.206
0.017,0.391,0.224
0.024,0.417,0.118
0.024,0.378,0.167
0.016,0.466,0.175
0.017,0.406,0.129
0.019,0.329,0.241
0.012,0.332,0.156
0.017,0.42,0.152
0.014,0.5,0.146
0.023,0.25,0.109
0.012,0.275,0.147
0.022,0.227,0.232
0.021,0.325,0.228
0.022,0.389,0.123
0.016,0.403,0.207
0.01,0.224,0.163
0.017,0.204,0.111
0.022,0.275,0.121
0.012,0.362,0.165
0.012,0.464,0.194
0.022,0.336,0.12
0.02,0.356,0.16
0.014,0.204,0.241
0.011,0.374,0.101
0.02,0.491,0.191
0.02,0.297,0.246
0.019,0.369,0.237
0.023,0.434,0.231
0.02,0.34,0.234
0.017,0.227,0.177
0.021,0.483,0.241
0.015,0.258,0.103
0.019,0.475,0.243
0.013,0.406,0.162
0.014,0.423,0.233
0.019,0.277,0.127
0.011,0.234,0.107
0.015,0.296,0.122
0.023,0.202,0.221
0.017,0.47,0.158
0.022,0.35,0.226
0.015,0.21,0.167
0.019,0.213,0.202
0.018,0.229,0.165
0.014,0.271,0.146
0.013,0.389,0.121
0.016,0.411,0.219
0.015,0.257,0.246
0.02,0.416,0.245
0.019,0.244,0.214
0.015,0.46,0.115
0.013,0.421,0.185
0.016,0.405,0.194
0.021,0.359,0.177
0.014,0.223,0.236
0.014,0.493,0.215
0.025,0.301,0.219
0.012,0.369,0.217
0.013,0.416,0.194
0.017,0.274,0.221
0.017,0.365,0.239
0.023,0.37,0.196
0.016,0.31,0.205
0.017,0.3,0.198
0.025,0.401,0.145
0.022,0.351,0.203
0.011,0.37,0.203
0.019,0.44,0.14
0.01,0.239,0.122
0.014,0.287,0.123
0.021,0.437,0.181
0.011,0.332,0.137
0.025,0.334,0.234
0.016,0.224,0.154
0.014,0.452,0.184
0.023,0.45,0.145
0.01,0.392,0.162
0.022,0.308,0.138
0.025,0.435,0.216
0.017,0.274,0.239
0.02,0.217,0.2
0.023,0.394,0.232
0.021,0.389,0.114
0.024,0.252,0.241
0.023,0.223,0.134
0.018,0.248,0.137
0.016,0.426,0.137
0.019,0.212,0.115
0.013,0.286,0.121
0.017,0.387,0.19
0.014,0.393,0.2
0.021,0.493,0.101
0.018,0.249,0.219
0.019,0.343,0.154
0.016,0.311,0.164
0.02,0.387,0.222
0.019,0.254,0.12
0.025,0.232,0.194
0.016,0.337,0.107
0.023,0.432,0.109
0.024,0.364,0.175
0.021,0.419,0.187
0.012,0.225,0.148
0.012,0.241,0.21
0.019,0.244,0.137
0.02,0.46,0.237
0.019,0.377,0.159
0.014,0.304,0.196
0.015,0.474,0.203
0.014,0.316,0.172
0.022,0.417,0.192
0.021,0.466,0.151
0.023,0.262,0.238
0.011,0.283,0.245
0.017,0.443,0.123
0.015,0.424,0.201
0.017,0.452,0.241
0.023,0.263,0.198
0.022,0.255,0.185
0.012,0.483,0.231
0.024,0.29,0.13
0.015,0.49,0.23
0.024,0.393,0.193
0.011,0.482,0.113
0.013,0.409,0.184
0.013,0.344,0.219
0.014,0.259,0.195
0.011,0.279,0.24
0.023,0.421,0.137
0.013,0.297,0.175
0.012,0.418,0.145
0.011,0.5,0.238
0.024,0.257,0.191
0.012,0.211,0.133
0.024,0.301,0.163
0.012,0.465,0.1
0.021,0.379,0.177
0.019,0.201,0.1
0.017,0.391,0.142
0.016,0.38,0.212
0.02,0.371,0.169
0.017,0.215,0.232
0.014,0.412,0.224
0.014,0.339,0.172
0.013,0.403,0.114
0.013,0.408,0.219
0.015,0.479,0.103
0.022,0.426,0.207
0.023,0.354,0.176
0.011,0.244,0.109
0.012,0.45,0.229
0.021,0.448,0.195
0.019,0.452,0.134
0.018,0.422,0.221
0.018,0.213,0.166
0.013,0.292,0.106
0.019,0.337,0.173
0.019,0.364,0.122
0.017,0.361,0.175
0.018,0.4,0.103
0.025,0.348,0.129
0.016,0.228,0.221
0.02,0.472,0.192
0.025,0.396,0.136
0.023,0.4,0.164
0.023,0.294,0.104
0.011,0.449,0.187
0.016,0.267,0.125
0.016,0.314,0.182
0.023,0.415,0.213
0.01,0.293,0.139
0.019,0.251,0.117
0.014,0.483,0.232
0.014,0.293,0.159
0.017,0.363,0.163
0.023,0.362,0.149
0.025,0.48,0.248
0.01,0.457,0.161
0.017,0.216,0.166
0.012,0.293,0.243
0.013,0.401,0.218
0.014,0.352,0.17
0.015,0.285,0.198
0.021,0.271,0.199
0.023,0.228,0.186
0.011,0.442,0.165
0.022,0.441,0.246
0.019,0.424,0.157
0.015,0.248,0.219
0.013,0.424,0.224
0.024,0.268,0.158
0.014,0.341,0.179
0.025,0.406,0.193
0.018,0.292,0.107
0.024,0.498,0.117
0.025,0.204,0.14
0.012,0.293,0.212
0.018,0.243,0.166
0.021,0.263,0.188
0.013,0.281,0.103
0.021,0.314,0.211
0.023,0.38,0.123
0.013,0.352,0.222
0.024,0.432,0.111
0.024,0.486,0.172
0.017,0.32,0.22
0.011,0.258,0.231
0.024,0.249,0.119
0.014,0.312,0.219
0.022,0.214,0.195
0.018,0.408,0.215
0.011,0.373,0.156
0.02,0.255,0.152
0.019,0.26,0.213
0.022,0.212,0.117
0.024,0.283,0.175
0.012,0.209,0.194
0.02,0.442,0.231
0.02,0.493,0.171
0.013,0.222,0.217
0.021,0.468,0.17
0.025,0.306,0.184
0.02,0.429,0.186
0.019,0.289,0.226
0.013,0.385,0.128
0.014,0.212,0.195
0.019,0.447,0.176
0.011,0.281,0.25
0.017,0.463,0.202
0.02,0.453,0.224
0.015,0.301,0.149
0.012,0.238,0.146
0.019,0.236,0.186
0.02,0.358,0.118
0.02,0.284,0.201
0.016,0.381,0.226
0.02,0.332,0.163
0.014,0.253,0.221
0.016,0.466,0.241
0.018,0.414,0.213
0.016,0.276,0.152
0.022,0.471,0.149
0.025,0.314,0.106
0.019,0.382,0.234
0.015,0.32,0.198
0.016,0.29,0.113
0.017,0.426,0.184
0.021,0.325,0.216
0.019,0.48,0.247
0.015,0.326,0.163
0.015,0.254,0.243
0.018,0.211,0.186
0.019,0.205,0.108
0.012,0.447,0.244
0.021,0.366,0.248
0.014,0.383,0.203
0.024,0.414,0.11
0.013,0.489,0.216
0.023,0.34,0.154
0.018,0.285,0.113
0.021,0.421,0.182
0.022,0.269,0.169
0.011,0.307,0.153
0.013,0.215,0.194
0.013,0.428,0.172
0.013,0.279,0.197
0.025,0.283,0.157
0.019,0.365,0.22
0.022,0.203,0.247
0.018,0.327,0.182
0.022,0.368,0.169
0.02,0.425,0.11
0.024,0.491,0.22
0.011,0.364,0.227
0.016,0.29,0.111
0.021,0.255,0.106
0.011,0.201,0.245
0.024,0.215,0.111
0.015,0.395,0.17
0.02,0.379,0.128
0.025,0.263,0.151
0.023,0.326,0.228
0.017,0.24,0.229
0.016,0.464,0.226
0.02,0.395,0.226
0.023,0.25,0.204
0.016,0.261,0.127
0.02,0.438,0.1
0.011,0.332,0.191
0.022,0.315,0.212
0.022,0.322,0.134
0.013,0.402,0.228
0.02,0.477,0.162
0.023,0.337,0.173
0.011,0.37,0.228
0.013,0.298,0.136
0.023,0.373,0.157
0.018,0.499,0.14
0.024,0.357,0.108
0.018,0.431,0.169
0.014,0.259,0.143
0.024,0.387,0.128
0.023,0.413,0.138
0.014,0.246,0.193
0.013,0.33,0.136
0.013,0.48,0.19
0.017,0.444,0.224
0.012,0.202,0.223
0.024,0.398,0.149
0.017,0.404,0.246
0.016,0.254,0.153
0.018,0.484,0.103
0.015,0.445,0.224
0.015,0.3,0.105
0.025,0.403,0.192
0.011,0.29,0.17
0.016,0.235,0.112
0.011,0.339,0.194
0.021,0.343,0.12
0.025,0.432,0.111
0.016,0.463,0.131
0.015,0.28,0.172
0.021,0.424,0.141
0.012,0.278,0.164
0.025,0.259,0.197
0.021,0.271,0.117
0.01,0.435,0.167
0.014,0.317,0.124
0.013,0.415,0.144
0.012,0.437,0.235
0.017,0.235,0.156
0.015,0.444,0.231
0.016,0.454,0.226
0.019,0.211,0.124
0.021,0.343,0.229
0.024,0.212,0.228
0.015,0.212,0.177
0.021,0.417,0.148
0.017,0.369,0.138
0.014,0.25,0.204
0.01,0.212,0.229
0.011,0.282,0.13
0.014,0.413,0.125
0.012,0.312,0.206
0.024,0.381,0.195
0.019,0.203,0.187
0.017,0.286,0.188
0.024,0.262,0.135
0.019,0.321,0.167
0.019,0.301,0.218
0.021,0.363,0.151
0.022,0.44,0.124
0.012,0.251,0.232
0.023,0.415,0.226
0.02,0.427,0.203
0.025,0.477,0.207
0.019,0.299,0.166
0.017,0.418,0.196
0.019,0.432,0.136
0.023,0.342,0.169
0.016,0.202,0.128
0.019,0.293,0.185
0.011,0.437,0.239
0.02,0.369,0.107
0.014,0.491,0.212
0.02,0.493,0.13
0.014,0.385,0.149
0.014,0.379,0.219
0.01,0.462,0.146
0.012,0.38,0.23
0.018,0.289,0.142
0.012,0.481,0.139
0.024,0.255,0.216
0.012,0.297,0.226
0.02,0.333,0.207
0.014,0.43,0.127
0.021,0.286,0.244
0.023,0.293,0.136
0.014,0.439,0.247
0.019,0.328,0.248
0.012,0.404,0.24
0.022,0.24,0.244
0.013,0.324,0.141
0.014,0.294,0.121
0.022,0.426,0.183
0.017,0.208,0.207
0.023,0.211,0.13
0.023,0.403,0.18
0.018,0.33,0.181
0.017,0.337,0.115
0.025,0.493,0.105
0.013,0.239,0.177
0.011,0.381,0.161
0.011,0.438,0.178
0.018,0.49,0.104
0.015,0.336,0.209
0.018,0.313,0.231
0.021,0.451,0.162
0.018,0.315,0.129
0.022,0.302,0.234
0.011,0.29,0.109
0.021,0.216,0.214
0.011,0.335,0.183
0.014,0.331,0.182
0.016,0.424,0.215
0.024,0.388,0.106
0.012,0.348,0.16
0.015,0.455,0.127
0.016,0.383,0.181
0.015,0.284,0.185
0.023,0.28,0.205
0.025,0.35,0.178
0.016,0.267,0.159
0.016,0.395,0.192
0.017,0.25,0.103
0.015,0.316,0.241
0.024,0.377,0.128
0.013,0.254,0.224
0.011,0.366,0.148
0.021,0.386,0.25
0.024,0.265,0.234
0.016,0.478,0.247
0.025,0.392,0.216
0.013,0.421,0.199
0.011,0.424,0.217
0.024,0.43,0.138
0.018,0.443,0.137
0.025,0.49,0.179
0.011,0.346,0.161
0.011,0.288,0.126
0.017,0.353,0.226
0.013,0.486,0.164
0.014,0.382,0.229
0.024,0.385,0.243
0.016,0.384,0.211
0.021,0.23,0.152
0.01,0.267,0.194
0.02,0.227,0.248
0.017,0.406,0.183
0.02,0.222,0.101
0.016,0.373,0.133
0.016,0.456,0.173
0.011,0.365,0.215
0.013,0.209,0.121
0.017,0.384,0.217
0.015,0.456,0.12
0.02,0.241,0.131
0.019,0.328,0.242
0.024,0.447,0.245
0.024,0.242,0.208
0.025,0.442,0.216
0.017,0.387,0.147
0.016,0.43,0.125
0.012,0.24,0.122
0.019,0.358,0.104
0.016,0.45,0.133
0.021,0.244,0.25
0.023,0.447,0.227
0.017,0.424,0.233
0.016,0.363,0.115
0.018,0.348,0.171
0.019,0.325,0.109
0.02,0.325,0.207
0.012,0.418,0.206
0.025,0.38,0.2
0.018,0.205,0.115
0.012,0.391,0.105
0.01,0.212,0.153
0.02,0.379,0.113
0.023,0.451,0.133
0.014,0.453,0.141
0.018,0.277,0.195
0.022,0.243,0.185
0.015,0.366,0.24
0.011,0.207,0.209
0.015,0.231,0.217
0.021,0.256,0.106
0.014,0.389,0.219
0.021,0.433,0.193
0.024,0.219,0.117
0.018,0.302,0.132
0.02,0.457,0.136
0.01,0.429,0.113
0.012,0.308,0.205
0.014,0.331,0.224
0.015,0.342,0.185
0.024,0.428,0.156
0.015,0.27,0.213
0.014,0.466,0.182
0.012,0.33,0.16
0.025,0.271,0.199
0.018,0.246,0.168
0.017,0.402,0.2
0.018,0.286,0.191
0.019,0.216,0.137
0.018,0.34,0.121
0.011,0.228,0.193
0.012,0.389,0.15
0.016,0.356,0.217
0.023,0.292,0.247
0.018,0.325,0.238
0.02,0.38,0.141
0.018,0.411,0.175
0.024,0.424,0.178
0.017,0.228,0.133
0.023,0.415,0.152
0.021,0.242,0.195
0.011,0.424,0.192
0.02,0.454,0.137
0.016,0.312,0.135
0.02,0.29,0.102
0.023,0.212,0.126
0.017,0.458,0.198
0.018,0.455,0.123
0.017,0.489,0.221
0.016,0.25,0.195
0.024,0.374,0.245
0.023,0.468,0.114
0.014,0.359,0.134
0.025,0.398,0.12
0.022,0.291,0.235
0.014,0.476,0.107
0.019,0.435,0.103
0.02,0.455,0.124
0.022,0.412,0.191
0.02,0.33,0.176
0.024,0.229,0.223
0.011,0.222,0.166
0.01,0.232,0.227
0.01,0.255,0.144
0.016,0.491,0.222
0.023,0.36,0.227
0.014,0.395,0.201
0.019,0.457,0.162
0.012,0.281,0.154
0.012,0.318,0.134
0.025,0.301,0.248
0.017,0.311,0.196
0.016,0.373,0.134
0.01,0.472,0.222
0.022,0.2,0.176
0.013,0.271,0.174
0.02,0.413,0.137
0.02,0.278,0.219
0.02,0.363,0.112
0.015,0.378,0.173
0.024,0.393,0.123
0.018,0.411,0.155
0.023,0.428,0.225
0.025,0.413,0.225
0.021,0.217,0.138
0.018,0.43,0.142
0.024,0.29,0.207
0.017,0.375,0.155
0.023,0.393,0.175
0.01,0.385,0.2
0.014,0.33,0.171
0.023,0.206,0.146
0.02,0.221,0.164
0.013,0.344,0.214
0.016,0.419,0.139
0.013,0.223,0.125
0.013,0.417,0.237
0.024,0.472,0.113
0.012,0.316,0.205
0.014,0.289,0.108
0.018,0.437,0.237
0.018,0.268,0.214
0.013,0.303,0.178
0.021,0.435,0.216
0.018,0.256,0.102
0.012,0.422,0.126
0.011,0.27,0.234
0.022,0.489,0.12
0.011,0.24,0.192
0.012,0.323,0.157
0.019,0.495,0.126
0.019,0.405,0.236
0.024,0.464,0.248
0.012,0.372,0.143
0.015,0.39,0.106
0.018,0.339,0.167
0.024,0.243,0.118
0.017,0.274,0.24
0.021,0.459,0.218
0.021,0.294,0.158
0.013,0.43,0.114
0.013,0.365,0.136
0.02,0.481,0.114
0.011,0.331,0.219
0.019,0.206,0.239
0.012,0.46,0.1
0.015,0.39,0.214
0.013,0.457,0.223
0.023,0.351,0.247
0.019,0.353,0.112
0.015,0.229,0.107
0.012,0.341,0.111
0.018,0.33,0.168
0.017,0.228,0.23
0.025,0.201,0.178
0.016,0.393,0.15
0.02,0.379,0.126
0.021,0.468,0.215
0.023,0.404,0.112
0.021,0.473,0.134
0.023,0.309,0.225
0.025,0.206,0.113
0.011,0.465,0.185
0.021,0.283,0.102
0.018,0.326,0.236
0.013,0.363,0.248
0.016,0.205,0.104
0.02,0.326,0.227
0.017,0.241,0.203
0.02,0.245,0.183
0.014,0.496,0.154
0.011,0.373,0.124
0.017,0.391,0.178
0.012,0.478,0.223
0.012,0.257,0.185
0.021,0.409,0.225
0.024,0.214,0.217
0.024,0.347,0.237
0.011,0.345,0.191
0.012,0.414,0.118
0.016,0.379,0.211
0.014,0.394,0.142
0.02,0.257,0.203
0.024,0.292,0.168
0.016,0.383,0.12
0.019,0.236,0.207
0.019,0.276,0.221
0.021,0.247,0.228
0.022,0.465,0.128
0.023,0.43,0.22
0.017,0.5,0.223
0.022,0.377,0.227
0.022,0.235,0.231
0.023,0.223,0.179
0.015,0.442,0.17
0.022,0.297,0.211
0.013,0.383,0.207
0.02,0.341,0.145
0.014,0.424,0.165
0.015,0.429,0.147
0.01,0.281,0.183
0.012,0.403,0.211
0.022,0.281,0.114
0.014,0.253,0.158
0.02,0.208,0.163
0.016,0.304,0.109
0.024,0.3,0.197
0.022,0.459,0.137
0.011,0.386,0.173
0.022,0.254,0.105
0.011,0.426,0.106
0.017,0.486,0.136
0.018,0.221,0.134
0.023,0.392,0.186
0.015,0.443,0.111
0.02,0.211,0.178
0.023,0.297,0.184
0.021,0.269,0.189
0.012,0.417,0.155
0.025,0.212,0.183
0.023,0.448,0.111
0.024,0.238,0.112
0.02,0.361,0.21
0.016,0.267,0.233
0.015,0.256,0.188
0.017,0.244,0.188
0.012,0.375,0.104
0.012,0.237,0.128
0.024,0.452,0.178
0.017,0.318,0.227
0.012,0.271,0.2
0.013,0.33,0.178
0.02,0.257,0.209
0.023,0.47,0.211
0.023,0.291,0.189
0.019,0.428,0.116
0.017,0.219,0.111
0.023,0.299,0.101
0.011,0.347,0.216
0.011,0.487,0.184
0.013,0.476,0.215
0.019,0.289,0.108
0.017,0.272,0.202
0.021,0.449,0.19
0.012,0.415,0.185
0.01,0.2,0.188
0.018,0.331,0.135
0.014,0.447,0.113
0.021,0.434,0.222
0.011,0.24,0.11
0.019,0.457,0.238
0.019,0.343,0.168
0.01,0.398,0.233
0.018,0.299,0.105
0.021,0.408,0.188
0.018,0.337,0.187
0.023,0.272,0.236
0.011,0.286,0.163
0.022,0.316,0.116
0.017,0.454,0.21
0.014,0.254,0.137
0.013,0.239,0.159
0.018,0.239,0.179
0.015,0.271,0.105
0.023,0.338,0.133
0.01,0.366,0.134
0.017,0.379,0.126
0.02,0.328,0.185
0.022,0.225,0.192
0.017,0.414,0.107
0.013,0.473,0.116
0.013,0.482,0.213
0.024,0.359,0.234
0.022,0.309,0.234
0.019,0.462,0.227
0.02,0.464,0.214
0.017,0.287,0.235
0.023,0.321,0.128
0.017,0.338,0.113
0.013,0.281,0.24
0.015,0.426,0.136
0.02,0.352,0.162
0.016,0.492,0.228
0.019,0.486,0.173
0.014,0.347,0.208
0.023,0.376,0.247
0.012,0.492,0.238
0.02,0.34,0.141
0.022,0.283,0.241
0.015,0.45,0.2
0.023,0.235,0.108
0.025,0.21,0.109
0.016,0.467,0.132
0.018,0.333,0.218
0.011,0.475,0.109
0.023,0.2,0.165
0.02,0.255,0.231
0.019,0.238,0.249
0.019,0.312,0.241
0.012,0.476,0.103
0.022,0.29,0.23
0.02,0.307,0.239
0.015,0.446,0.205
0.022,0.466,0.111
0.016,0.431,0.173
0.014,0.469,0.182
0.02,0.224,0.201
0.01,0.299,0.221
0.01,0.375,0.177
0.021,0.424,0.246
0.02,0.207,0.13
0.01,0.341,0.241
0.017,0.291,0.153
0.017,0.421,0.243
0.02,0.202,0.226
0.017,0.268,0.202
0.013,0.323,0.117
0.022,0.455,0.133
0.015,0.368,0.181
0.024,0.246,0.187
0.011,0.431,0.169
0.017,0.458,0.171
0.024,0.274,0.101
0.018,0.292,0.103
0.023,0.317,0.164
0.015,0.259,0.123
0.013,0.471,0.167
0.014,0.433,0.12
0.014,0.215,0.17
0.014,0.385,0.217
0.014,0.289,0.132
0.018,0.388,0.181
0.012,0.423,0.131
0.012,0.375,0.117
0.024,0.264,0.164
0.011,0.294,0.169
0.025,0.309,0.193
0.01,0.363,0.159
0.011,0.366,0.103
0.011,0.21,0.206
0.02,0.391,0.232
0.018,0.237,0.209
0.014,0.357,0.2
0.024,0.46,0.125
0.017,0.357,0.214
0.023,0.492,0.193
0.011,0.375,0.218
0.022,0.249,0.21
0.014,0.266,0.189
0.016,0.292,0.128
0.012,0.426,0.243
0.017,0.397,0.141
0.022,0.21,0.161
0.022,0.323,0.171
0.02,0.478,0.212
0.02,0.395,0.199
0.015,0.421,0.114
0.022,0.277,0.125
0.02,0.217,0.248
0.014,0.382,0.134
0.015,0.337,0.131
0.021,0.466,0.144
0.025,0.341,0.114
0.012,0.343,0.16
0.012,0.235,0.123
0.025,0.424,0.15
0.012,0.346,0.141
0.019,0.475,0.11
0.024,0.288,0.243
0.023,0.236,0.216
0.017,0.401,0.108
0.014,0.404,0.219
0.02,0.293,0.104
0.017,0.487,0.207
0.011,0.403,0.214
0.02,0.378,0.128
0.018,0.28,0.229
0.016,0.369,0.193
0.024,0.367,0.175
0.017,0.26,0.214
0.023,0.21,0.122
0.018,0.405,0.226
0.017,0.292,0.227
0.013,0.41,0.157
0.02,0.235,0.207
0.012,0.244,0.234
0.022,0.368,0.157
0.021,0.358,0.135
0.021,0.223,0.245
0.017,0.455,0.143
0.013,0.345,0.118
0.016,0.296,0.153
0.022,0.302,0.127
0.021,0.357,0.225
0.024,0.365,0.129
0.015,0.297,0.117
0.015,0.267,0.189
0.016,0.466,0.204
0.025,0.322,0.214
0.011,0.256,0.22
0.014,0.434,0.113
0.021,0.258,0.232
0.019,0.458,0.243
0.025,0.338,0.165
0.013,0.261,0.185
0.021,0.392,0.155
0.025,0.222,0.198
0.018,0.208,0.224
0.022,0.439,0.116
0.019,0.314,0.201
0.011,0.263,0.177
0.023,0.215,0.204
0.015,0.377,0.147
0.022,0.224,0.242
0.019,0.227,0.203
0.021,0.439,0.14
0.011,0.239,0.157
0.014,0.25,0.22
0.021,0.257,0.162
0.016,0.24,0.129
0.011,0.333,0.182
0.021,0.309,0.124
0.021,0.34,0.197
0.011,0.281,0.148
0.01,0.398,0.231
0.018,0.255,0.241
0.015,0.39,0.223
0.012,0.254,0.184
0.023,0.28,0.196
0.013,0.233,0.157
0.013,0.317,0.14
0.024,0.313,0.142
0.013,0.363,0.196
0.021,0.203,0.218
0.014,0.489,0.206
0.018,0.277,0.236
0.017,0.427,0.168
0.011,0.45,0.185
0.021,0.308,0.129
0.015,0.443,0.171
0.014,0.294,0.24
0.012,0.355,0.104
0.018,0.287,0.189
0.015,0.35,0.182
0.02,0.234,0.123
0.014,0.448,0.169
0.018,0.427,0.24
0.01,0.218,0.148
0.023,0.237,0.198
0.018,0.286,0.247
0.02,0.384,0.22
0.025,0.471,0.167
0.019,0.464,0.19
0.024,0.324,0.153
0.01,0.391,0.186
0.017,0.216,0.199
0.015,0.368,0.133
0.024,0.214,0.215
0.024,0.413,0.129
0.012,0.453,0.234
0.017,0.469,0.24
0.021,0.496,0.203
0.018,0.233,0.243
0.019,0.392,0.196
0.023,0.308,0.186
0.02,0.354,0.148
0.024,0.42,0.174
0.011,0.469,0.209
0.014,0.209,0.117
0.011,0.249,0.105
0.011,0.248,0.112
0.017,0.386,0.138
0.016,0.351,0.102
0.013,0.209,0.208
0.02,0.228,0.192
0.012,0.29,0.108
0.015,0.457,0.23
0.022,0.315,0.221
0.02,0.209,0.193
0.022,0.211,0.23
0.025,0.469,0.233
0.018,0.21,0.139
0.015,0.339,0.115
0.022,0.205,0.118
0.022,0.281,0.138
0.016,0.5,0.249
0.023,0.458,0.209
0.022,0.212,0.17
0.014,0.344,0.239
0.012,0.285,0.162
0.022,0.349,0.212
0.01,0.418,0.207
0.021,0.304,0.106
0.018,0.361,0.184
0.019,0.249,0.135
0.024,0.376,0.12
0.012,0.234,0.203
0.014,0.243,0.22
0.018,0.294,0.141
0.019,0.393,0.101
0.019,0.233,0.135
0.017,0.456,0.198
0.024,0.239,0.225
0.014,0.434,0.211
0.013,0.376,0.201
0.018,0.406,0.191
0.021,0.468,0.181
0.016,0.462,0.185
0.014,0.211,0.109
0.014,0.219,0.165
0.012,0.438,0.129
0.024,0.379,0.101
0.017,0.263,0.2
0.024,0.465,0.223
0.016,0.293,0.223
0.02,0.45,0.211
0.014,0.464,0.141
0.021,0.457,0.159
0.013,0.249,0.209
0.023,0.223,0.214
0.016,0.314,0.155
0.014,0.492,0.18
0.024,0.406,0.189
0.021,0.451,0.129
0.011,0.44,0.228
0.018,0.291,0.184
0.023,0.252,0.173
0.011,0.382,0.101
0.012,0.269,0.166
0.012,0.207,0.181
0.014,0.389,0.217
0.024,0.46,0.243
0.017,0.359,0.201
0.019,0.312,0.132
0.011,0.484,0.184
0.024,0.482,0.198
0.022,0.232,0.184
0.02,0.314,0.199
0.019,0.33,0.126
0.013,0.227,0.177
0.019,0.351,0.121
